tree_id,xmin,ymin,xmax,ymax,label,score,geometry,crown_width_px,crown_height_px,crown_area_px
Tree_1,0.0,994.1412,225.57709,1365.7589,Tree,0.40238193,"POLYGON ((225.57708740234375 994.1411743164062, 225.57708740234375 1365.7589111328125, 0 1365.7589111328125, 0 994.1411743164062, 225.57708740234375 994.1411743164062))",225.57709,371.61774,83828.445
Tree_2,2940.3345,389.2785,3269.053,719.38275,Tree,0.24592088,"POLYGON ((3269.052978515625 389.27850341796875, 3269.052978515625 719.3827514648438, 2940.33447265625 719.3827514648438, 2940.33447265625 389.27850341796875, 3269.052978515625 389.27850341796875))",328.7185,330.10425,108511.375
Tree_3,0.0,1448.2119,262.25003,1851.0106,Tree,0.24504237,"POLYGON ((262.2500305175781 1448.2119140625, 262.2500305175781 1851.0106201171875, 0 1851.0106201171875, 0 1448.2119140625, 262.2500305175781 1448.2119140625))",262.25003,402.7987,105633.98
Tree_4,2112.01,782.5926,2602.2568,1248.2897,Tree,0.21910897,"POLYGON ((2602.2568359375 782.5925903320312, 2602.2568359375 1248.2896728515625, 2112.010009765625 1248.2896728515625, 2112.010009765625 782.5925903320312, 2602.2568359375 782.5925903320312))",490.24683,465.69708,228306.52
Tree_5,1431.8572,1043.1571,1807.6973,1457.7495,Tree,0.21241969,"POLYGON ((1807.697265625 1043.1571044921875, 1807.697265625 1457.74951171875, 1431.857177734375 1457.74951171875, 1431.857177734375 1043.1571044921875, 1807.697265625 1043.1571044921875))",375.8401,414.5924,155820.45
Tree_6,2377.663,1565.877,2812.6877,1993.5867,Tree,0.19410689,"POLYGON ((2812.687744140625 1565.876953125, 2812.687744140625 1993.586669921875, 2377.6630859375 1993.586669921875, 2377.6630859375 1565.876953125, 2812.687744140625 1565.876953125))",435.02466,427.70972,186064.27
Tree_7,3226.7368,188.96495,3432.5642,405.62912,Tree,0.17378783,"POLYGON ((3432.564208984375 188.96495056152344, 3432.564208984375 405.6291198730469, 3226.73681640625 405.6291198730469, 3226.73681640625 188.96495056152344, 3432.564208984375 188.96495056152344))",205.8274,216.66417,44595.42
Tree_8,2940.482,1890.9623,3322.7375,2263.8032,Tree,0.1632564,"POLYGON ((3322.737548828125 1890.9622802734375, 3322.737548828125 2263.80322265625, 2940.48193359375 2263.80322265625, 2940.48193359375 1890.9622802734375, 3322.737548828125 1890.9622802734375))",382.2556,372.84094,142520.55
Tree_9,2298.2866,31.722479,2794.091,471.22018,Tree,0.15102452,"POLYGON ((2794.091064453125 31.72247886657715, 2794.091064453125 471.2201843261719, 2298.28662109375 471.2201843261719, 2298.28662109375 31.72247886657715, 2794.091064453125 31.72247886657715))",495.80444,439.4977,217904.92
Tree_10,744.61316,760.36176,1241.0574,1246.5769,Tree,0.14275429,"POLYGON ((1241.057373046875 760.3617553710938, 1241.057373046875 1246.576904296875, 744.6131591796875 1246.576904296875, 744.6131591796875 760.3617553710938, 1241.057373046875 760.3617553710938))",496.4442,486.21515,241378.7
