tree_id,xmin,ymin,xmax,ymax,label,score,geometry,crown_width_px,crown_height_px,crown_area_px
Tree_1,3283.4639,169.65834,4040.8494,979.8418,Tree,0.34567,"POLYGON ((4040.849365234375 169.65834045410156, 4040.849365234375 979.841796875, 3283.4638671875 979.841796875, 3283.4638671875 169.65834045410156, 4040.849365234375 169.65834045410156))",757.3855,810.1835,613621.2
Tree_2,3083.4475,2255.6382,3821.258,2963.2869,Tree,0.33574346,"POLYGON ((3821.258056640625 2255.63818359375, 3821.258056640625 2963.286865234375, 3083.447509765625 2963.286865234375, 3083.447509765625 2255.63818359375, 3821.258056640625 2255.63818359375))",737.81055,707.6487,522110.66
Tree_3,2058.3638,2.566157,2671.9988,393.75702,Tree,0.3272629,"POLYGON ((2671.998779296875 2.566157102584839, 2671.998779296875 393.75701904296875, 2058.36376953125 393.75701904296875, 2058.36376953125 2.566157102584839, 2671.998779296875 2.566157102584839))",613.635,391.19086,240048.4
Tree_4,3328.6375,1166.9926,3979.1543,1739.428,Tree,0.31527516,"POLYGON ((3979.154296875 1166.9925537109375, 3979.154296875 1739.427978515625, 3328.637451171875 1739.427978515625, 3328.637451171875 1166.9925537109375, 3979.154296875 1166.9925537109375))",650.51685,572.4354,372378.88
Tree_5,3001.261,0.0,3532.8047,287.76245,Tree,0.19207415,"POLYGON ((3532.8046875 0, 3532.8046875 287.762451171875, 3001.260986328125 287.762451171875, 3001.260986328125 0, 3532.8046875 0))",531.5437,287.76245,152958.31
Tree_6,2965.495,1969.9961,3230.1494,2226.5955,Tree,0.17363107,"POLYGON ((3230.1494140625 1969.99609375, 3230.1494140625 2226.595458984375, 2965.4951171875 2226.595458984375, 2965.4951171875 1969.99609375, 3230.1494140625 1969.99609375))",264.6543,256.59937,67910.125
Tree_7,3704.982,1832.8578,4096.0,2401.8018,Tree,0.15685427,"POLYGON ((4096 1832.8577880859375, 4096 2401.8017578125, 3704.98193359375 2401.8017578125, 3704.98193359375 1832.8577880859375, 4096 1832.8577880859375))",391.01807,568.944,222467.38
Tree_8,419.63977,0.0,908.2906,156.06972,Tree,0.13586828,"POLYGON ((908.2905883789062 0, 908.2905883789062 156.06971740722656, 419.6397705078125 156.06971740722656, 419.6397705078125 0, 908.2905883789062 0))",488.65082,156.06972,76263.59
Tree_9,3215.1484,1843.3313,3696.0837,2322.3408,Tree,0.11250067,"POLYGON ((3696.083740234375 1843.331298828125, 3696.083740234375 2322.3408203125, 3215.1484375 2322.3408203125, 3215.1484375 1843.331298828125, 3696.083740234375 1843.331298828125))",480.9353,479.00952,230372.6
Tree_10,15.684789,9.348999,352.44388,368.77457,Tree,0.108861886,"POLYGON ((352.4438781738281 9.3489990234375, 352.4438781738281 368.7745666503906, 15.684788703918457 368.7745666503906, 15.684788703918457 9.3489990234375, 352.4438781738281 9.3489990234375))",336.7591,359.42557,121039.83
