tree_id,xmin,ymin,xmax,ymax,label,score,geometry,crown_width_px,crown_height_px,crown_area_px
Tree_1,3556.157,30.37872,4006.8743,508.44867,Tree,0.61497515,"POLYGON ((4006.874267578125 30.378719329833984, 4006.874267578125 508.44866943359375, 3556.156982421875 508.44866943359375, 3556.156982421875 30.378719329833984, 4006.874267578125 30.378719329833984))",450.7173,478.06995,215474.39
Tree_2,3478.8914,1920.2266,3956.3147,2358.887,Tree,0.34854293,"POLYGON ((3956.314697265625 1920.2265625, 3956.314697265625 2358.886962890625, 3478.891357421875 2358.886962890625, 3478.891357421875 1920.2265625, 3956.314697265625 1920.2265625))",477.42334,438.6604,209426.72
Tree_3,2800.1084,1489.7644,3288.2468,1971.4166,Tree,0.34719568,"POLYGON ((3288.246826171875 1489.764404296875, 3288.246826171875 1971.4166259765625, 2800.1083984375 1971.4166259765625, 2800.1083984375 1489.764404296875, 3288.246826171875 1489.764404296875))",488.13843,481.65222,235112.95
Tree_4,2712.9395,2.63625,3185.081,275.06226,Tree,0.287967,"POLYGON ((3185.0810546875 2.6362500190734863, 3185.0810546875 275.062255859375, 2712.939453125 275.062255859375, 2712.939453125 2.6362500190734863, 3185.0810546875 2.6362500190734863))",472.1416,272.426,128623.65
Tree_5,3202.4968,0.0,3528.3367,161.93117,Tree,0.27917194,"POLYGON ((3528.336669921875 0, 3528.336669921875 161.93116760253906, 3202.496826171875 161.93116760253906, 3202.496826171875 0, 3528.336669921875 0))",325.83984,161.93117,52763.625
Tree_6,390.258,487.2471,695.9231,806.5624,Tree,0.23528889,"POLYGON ((695.923095703125 487.2471008300781, 695.923095703125 806.5623779296875, 390.25799560546875 806.5623779296875, 390.25799560546875 487.2471008300781, 695.923095703125 487.2471008300781))",305.6651,319.31528,97603.54
Tree_7,309.10126,1015.8358,663.6427,1347.4634,Tree,0.23302971,"POLYGON ((663.6427001953125 1015.8358154296875, 663.6427001953125 1347.46337890625, 309.10125732421875 1347.46337890625, 309.10125732421875 1015.8358154296875, 663.6427001953125 1015.8358154296875))",354.54144,331.62756,117575.72
Tree_8,1702.1642,857.93414,2122.377,1298.9098,Tree,0.23095746,"POLYGON ((2122.376953125 857.9341430664062, 2122.376953125 1298.9097900390625, 1702.1641845703125 1298.9097900390625, 1702.1641845703125 857.9341430664062, 2122.376953125 857.9341430664062))",420.21277,440.97565,185303.6
Tree_9,0.0,626.0058,211.35901,1027.4875,Tree,0.22491828,"POLYGON ((211.3590087890625 626.0057983398438, 211.3590087890625 1027.487548828125, 0 1027.487548828125, 0 626.0057983398438, 211.3590087890625 626.0057983398438))",211.35901,401.48175,84856.78
Tree_10,240.5948,0.0,810.41595,276.798,Tree,0.21304002,"POLYGON ((810.4159545898438 0, 810.4159545898438 276.7980041503906, 240.5948028564453 276.7980041503906, 240.5948028564453 0, 810.4159545898438 0))",569.82117,276.798,157725.36
