tree_id,xmin,ymin,xmax,ymax,label,score,geometry,crown_width_px,crown_height_px,crown_area_px
Tree_1,3054.619,1097.1888,3516.443,1590.2291,Tree,0.5197302,"POLYGON ((3516.443115234375 1097.1888427734375, 3516.443115234375 1590.2291259765625, 3054.618896484375 1590.2291259765625, 3054.618896484375 1097.1888427734375, 3516.443115234375 1097.1888427734375))",461.82422,493.04028,227697.94
Tree_2,2901.2888,1911.037,3893.441,2890.3696,Tree,0.3986968,"POLYGON ((3893.44091796875 1911.0369873046875, 3893.44091796875 2890.36962890625, 2901.288818359375 2890.36962890625, 2901.288818359375 1911.0369873046875, 3893.44091796875 1911.0369873046875))",992.1521,979.33264,971646.94
Tree_3,1426.7052,343.10812,1997.7941,887.69995,Tree,0.36618304,"POLYGON ((1997.7940673828125 343.1081237792969, 1997.7940673828125 887.699951171875, 1426.7052001953125 887.699951171875, 1426.7052001953125 343.1081237792969, 1997.7940673828125 343.1081237792969))",571.08887,544.5918,311010.3
Tree_4,3600.007,1230.3038,4053.6633,1710.2236,Tree,0.3135035,"POLYGON ((4053.663330078125 1230.3038330078125, 4053.663330078125 1710.2236328125, 3600.007080078125 1710.2236328125, 3600.007080078125 1230.3038330078125, 4053.663330078125 1230.3038330078125))",453.65625,479.9198,217718.61
Tree_5,1629.4186,1106.6489,2372.0518,1851.1608,Tree,0.31247488,"POLYGON ((2372.0517578125 1106.64892578125, 2372.0517578125 1851.1607666015625, 1629.4185791015625 1851.1607666015625, 1629.4185791015625 1106.64892578125, 2372.0517578125 1106.64892578125))",742.6332,744.51184,552899.2
Tree_6,2588.2688,26.27767,3078.3066,463.06552,Tree,0.26982686,"POLYGON ((3078.306640625 26.27766990661621, 3078.306640625 463.0655212402344, 2588.268798828125 463.0655212402344, 2588.268798828125 26.27766990661621, 3078.306640625 26.27766990661621))",490.03784,436.78784,214042.58
Tree_7,4.7060857,6.0136228,300.26077,252.32774,Tree,0.25796118,"POLYGON ((300.2607727050781 6.013622760772705, 300.2607727050781 252.32774353027344, 4.706085681915283 252.32774353027344, 4.706085681915283 6.013622760772705, 300.2607727050781 6.013622760772705))",295.5547,246.31412,72799.29
Tree_8,741.18536,431.62576,1237.5386,906.44653,Tree,0.18970087,"POLYGON ((1237.53857421875 431.6257629394531, 1237.53857421875 906.446533203125, 741.1853637695312 906.446533203125, 741.1853637695312 431.6257629394531, 1237.53857421875 431.6257629394531))",496.3532,474.82077,235678.81
Tree_9,1500.5404,2012.6001,2132.0437,2650.3757,Tree,0.17668472,"POLYGON ((2132.043701171875 2012.60009765625, 2132.043701171875 2650.375732421875, 1500.5404052734375 2650.375732421875, 1500.5404052734375 2012.60009765625, 2132.043701171875 2012.60009765625))",631.5033,637.77563,402757.4
Tree_10,1837.1565,10.601001,2325.698,423.84912,Tree,0.15421267,"POLYGON ((2325.697998046875 10.601000785827637, 2325.697998046875 423.84912109375, 1837.156494140625 423.84912109375, 1837.156494140625 10.601000785827637, 2325.697998046875 10.601000785827637))",488.5415,413.2481,201888.86
Tree_11,1297.9407,2642.326,1807.1051,3060.5999,Tree,0.13798194,"POLYGON ((1807.1051025390625 2642.325927734375, 1807.1051025390625 3060.599853515625, 1297.940673828125 3060.599853515625, 1297.940673828125 2642.325927734375, 1807.1051025390625 2642.325927734375))",509.16443,418.27393,212970.2
Tree_12,1853.7913,2611.4792,2354.4114,3040.7349,Tree,0.12697445,"POLYGON ((2354.411376953125 2611.479248046875, 2354.411376953125 3040.73486328125, 1853.791259765625 3040.73486328125, 1853.791259765625 2611.479248046875, 2354.411376953125 2611.479248046875))",500.62012,429.2556,214894.0
Tree_13,3683.9946,773.17957,4058.1567,1170.4713,Tree,0.122345805,"POLYGON ((4058.15673828125 773.1795654296875, 4058.15673828125 1170.4713134765625, 3683.99462890625 1170.4713134765625, 3683.99462890625 773.1795654296875, 4058.15673828125 773.1795654296875))",374.1621,397.29175,148651.52
Tree_14,844.8523,0.0,1352.2294,410.6536,Tree,0.12227456,"POLYGON ((1352.2293701171875 0, 1352.2293701171875 410.6535949707031, 844.852294921875 410.6535949707031, 844.852294921875 0, 1352.2293701171875 0))",507.37708,410.6536,208356.22
Tree_15,1.2204722,216.05797,157.19702,526.0654,Tree,0.11474781,"POLYGON ((157.197021484375 216.05796813964844, 157.197021484375 526.0654296875, 1.2204722166061401 526.0654296875, 1.2204722166061401 216.05796813964844, 157.197021484375 216.05796813964844))",155.97655,310.00745,48353.89
Tree_16,2641.404,431.26373,3211.2634,1007.70575,Tree,0.104600996,"POLYGON ((3211.263427734375 431.26373291015625, 3211.263427734375 1007.7057495117188, 2641.404052734375 1007.7057495117188, 2641.404052734375 431.26373291015625, 3211.263427734375 431.26373291015625))",569.8594,576.442,328490.88
