tree_id,xmin,ymin,xmax,ymax,label,score,geometry,crown_width_px,crown_height_px,crown_area_px
Tree_1,314.60406,1320.9857,1063.3142,2065.349,Tree,0.5488048,"POLYGON ((1063.314208984375 1320.9857177734375, 1063.314208984375 2065.34912109375, 314.60406494140625 2065.34912109375, 314.60406494140625 1320.9857177734375, 1063.314208984375 1320.9857177734375))",748.71014,744.3634,557312.44
Tree_2,3118.2996,645.2046,3405.0776,945.69305,Tree,0.4861268,"POLYGON ((3405.07763671875 645.20458984375, 3405.07763671875 945.6930541992188, 3118.299560546875 945.6930541992188, 3118.299560546875 645.20458984375, 3405.07763671875 645.20458984375))",286.77808,300.48846,86173.5
Tree_3,1613.5453,337.03787,1768.1808,525.7711,Tree,0.39224604,"POLYGON ((1768.1807861328125 337.0378723144531, 1768.1807861328125 525.7711181640625, 1613.5452880859375 525.7711181640625, 1613.5452880859375 337.0378723144531, 1768.1807861328125 337.0378723144531))",154.6355,188.73325,29184.86
Tree_4,1987.6953,303.97803,2177.8928,492.4955,Tree,0.3887486,"POLYGON ((2177.892822265625 303.97802734375, 2177.892822265625 492.4955139160156, 1987.6953125 492.4955139160156, 1987.6953125 303.97802734375, 2177.892822265625 303.97802734375))",190.19751,188.51749,35855.555
Tree_5,3501.1494,668.71356,3755.2722,922.84827,Tree,0.3742299,"POLYGON ((3755.272216796875 668.7135620117188, 3755.272216796875 922.8482666015625, 3501.1494140625 922.8482666015625, 3501.1494140625 668.7135620117188, 3755.272216796875 668.7135620117188))",254.1228,254.1347,64581.42
Tree_6,1224.2267,655.9125,1415.6287,857.6511,Tree,0.33480695,"POLYGON ((1415.628662109375 655.9124755859375, 1415.628662109375 857.651123046875, 1224.2266845703125 857.651123046875, 1224.2266845703125 655.9124755859375, 1415.628662109375 655.9124755859375))",191.40198,201.73865,38613.176
Tree_7,2165.939,514.12225,2323.143,674.35706,Tree,0.33185378,"POLYGON ((2323.14306640625 514.1222534179688, 2323.14306640625 674.3570556640625, 2165.93896484375 674.3570556640625, 2165.93896484375 514.1222534179688, 2323.14306640625 514.1222534179688))",157.2041,160.2348,25189.568
Tree_8,0.0,1925.8602,254.96722,2336.9185,Tree,0.31765914,"POLYGON ((254.96722412109375 1925.8602294921875, 254.96722412109375 2336.91845703125, 0 2336.91845703125, 0 1925.8602294921875, 254.96722412109375 1925.8602294921875))",254.96722,411.05823,104806.375
Tree_9,370.92767,721.86395,741.3685,1102.5258,Tree,0.29610932,"POLYGON ((741.3685302734375 721.8639526367188, 741.3685302734375 1102.5257568359375, 370.92767333984375 1102.5257568359375, 370.92767333984375 721.8639526367188, 741.3685302734375 721.8639526367188))",370.44086,380.6618,141012.69
Tree_10,1799.7391,511.7564,1948.1274,670.5936,Tree,0.2949578,"POLYGON ((1948.12744140625 511.75640869140625, 1948.12744140625 670.5936279296875, 1799.7391357421875 670.5936279296875, 1799.7391357421875 511.75640869140625, 1948.12744140625 511.75640869140625))",148.3883,158.83722,23569.586
Tree_11,2006.3529,536.37177,2166.3547,696.964,Tree,0.29016227,"POLYGON ((2166.354736328125 536.3717651367188, 2166.354736328125 696.9639892578125, 2006.3529052734375 696.9639892578125, 2006.3529052734375 536.3717651367188, 2166.354736328125 536.3717651367188))",160.00183,160.59222,25695.05
Tree_12,1054.5223,877.353,1259.8818,1127.9409,Tree,0.2868863,"POLYGON ((1259.8818359375 877.35302734375, 1259.8818359375 1127.94091796875, 1054.5223388671875 1127.94091796875, 1054.5223388671875 877.35302734375, 1259.8818359375 877.35302734375))",205.3595,250.58789,51460.6
Tree_13,2699.5247,642.36224,2887.7935,834.94354,Tree,0.28506812,"POLYGON ((2887.79345703125 642.3622436523438, 2887.79345703125 834.9435424804688, 2699.524658203125 834.9435424804688, 2699.524658203125 642.3622436523438, 2887.79345703125 642.3622436523438))",188.2688,192.5813,36257.05
Tree_14,55.44855,96.63178,232.60034,325.5114,Tree,0.2783513,"POLYGON ((232.600341796875 96.63178253173828, 232.600341796875 325.51141357421875, 55.448551177978516 325.51141357421875, 55.448551177978516 96.63178253173828, 232.600341796875 96.63178253173828))",177.1518,228.87964,40546.438
