tree_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,max_height_m,mean_height_m,center_x_px,center_y_px
DINOV3_0001,2927,0,1167,776,308043,inf,inf,3510,388
DINOV3_0002,1,1,39,75,496,inf,inf,20,38
DINOV3_0003,73,1,1231,3069,453068,inf,inf,688,1535
DINOV3_0004,1374,1,1355,827,177120,inf,inf,2051,414
DINOV3_0005,2731,1,147,91,6224,inf,inf,2804,46
DINOV3_0006,493,73,267,119,12432,inf,inf,626,132
DINOV3_0007,2534,109,19,11,112,inf,inf,2543,114
DINOV3_0008,2562,117,31,15,304,inf,inf,2577,124
DINOV3_0009,2731,133,59,215,8960,inf,inf,2760,240
DINOV3_0010,3539,133,31,19,368,inf,inf,3554,142
DINOV3_0011,1,137,3,27,112,inf,inf,2,150
DINOV3_0012,2542,141,23,11,160,inf,inf,2553,146
DINOV3_0013,2566,145,39,11,288,inf,inf,2585,150
DINOV3_0014,3811,165,23,7,160,inf,inf,3822,168
DINOV3_0015,3895,193,11,11,112,inf,inf,3900,198
DINOV3_0016,2574,197,63,27,944,inf,inf,2605,210
DINOV3_0017,3567,205,19,11,128,inf,inf,3576,210
DINOV3_0018,3591,217,35,7,208,inf,inf,3608,220
DINOV3_0019,3643,225,27,19,176,inf,inf,3656,234
DINOV3_0020,3563,245,31,23,400,inf,inf,3578,256
DINOV3_0021,3575,257,303,279,19920,inf,inf,3726,396
DINOV3_0022,3871,277,35,15,464,inf,inf,3888,284
DINOV3_0023,3871,345,23,11,192,inf,inf,3882,350
DINOV3_0024,3747,353,15,15,192,inf,inf,3754,360
DINOV3_0025,2262,373,19,11,144,inf,inf,2271,378
DINOV3_0026,2731,389,23,151,2448,inf,inf,2742,464
DINOV3_0027,3431,421,23,19,368,inf,inf,3442,430
DINOV3_0028,1002,445,80,96,4010,2.62,1.69,1042,493
DINOV3_0029,901,449,23,19,320,inf,inf,912,458
DINOV3_0030,1,489,3,43,176,inf,inf,2,510
DINOV3_0031,3571,533,19,11,144,inf,inf,3580,538
DINOV3_0032,3539,557,99,119,3552,inf,inf,3588,616
DINOV3_0033,3739,573,47,55,1664,inf,inf,3762,600
DINOV3_0034,2731,589,7,83,640,inf,inf,2734,630
DINOV3_0035,1646,649,47,31,1008,inf,inf,1669,664
DINOV3_0036,1,657,7,107,512,inf,inf,4,710
DINOV3_0037,3271,665,43,15,464,inf,inf,3292,672
DINOV3_0038,3539,665,27,11,272,inf,inf,3552,670
DINOV3_0039,857,725,11,19,208,inf,inf,862,734
DINOV3_0040,3487,725,23,15,352,inf,inf,3498,732
DINOV3_0041,3703,729,163,127,8880,inf,inf,3784,792
DINOV3_0042,3447,745,19,11,160,inf,inf,3456,750
DINOV3_0043,3515,745,27,11,240,inf,inf,3528,750
DINOV3_0044,3531,761,23,23,400,inf,inf,3542,772
DINOV3_0045,3603,761,23,11,224,inf,inf,3614,766
DINOV3_0046,3459,765,59,67,1376,inf,inf,3488,798
DINOV3_0047,3907,765,19,15,176,inf,inf,3916,772
DINOV3_0048,3203,789,135,83,3440,inf,inf,3270,830
DINOV3_0049,3563,789,39,15,496,inf,inf,3582,796
DINOV3_0050,3003,797,43,79,1648,inf,inf,3024,836
DINOV3_0051,3979,797,115,1220,34352,inf,inf,4036,1407
DINOV3_0052,3523,805,19,15,144,inf,inf,3532,812
DINOV3_0053,994,822,67,99,3679,2.28,1.34,1027,871
DINOV3_0054,3187,829,11,11,128,inf,inf,3192,834
