tree_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,max_height_m,mean_height_m,center_x_px,center_y_px
DINOV3_0001,1,1,27,403,4272,inf,inf,14,202
DINOV3_0002,125,1,43,3,176,inf,inf,146,2
DINOV3_0003,249,1,187,11,944,inf,inf,342,6
DINOV3_0004,1,1,1363,2049,514720,inf,inf,682,1025
DINOV3_0005,1478,1,611,39,8432,inf,inf,1783,20
DINOV3_0006,2146,1,391,15,2320,inf,inf,2341,8
DINOV3_0007,2554,1,87,7,432,inf,inf,2597,4
DINOV3_0008,2662,1,67,3,272,inf,inf,2695,2
DINOV3_0009,2731,1,135,3,544,inf,inf,2798,2
DINOV3_0010,2907,1,607,167,26907,inf,inf,3210,84
DINOV3_0011,3651,1,31,3,128,inf,inf,3666,2
DINOV3_0012,3703,1,47,3,192,inf,inf,3726,2
DINOV3_0013,3827,1,131,15,816,inf,inf,3892,8
DINOV3_0014,3995,1,99,23,592,inf,inf,4044,12
DINOV3_0015,3891,21,47,43,1264,inf,inf,3914,42
DINOV3_0016,1466,41,831,151,35632,inf,inf,1881,116
DINOV3_0017,3323,41,771,1140,81452,inf,inf,3708,611
DINOV3_0018,1994,45,47,31,704,inf,inf,2017,60
DINOV3_0019,1622,57,23,11,224,inf,inf,1633,62
DINOV3_0020,393,61,27,19,288,inf,inf,406,70
DINOV3_0021,357,69,31,11,368,inf,inf,372,74
DINOV3_0022,1333,69,31,15,384,inf,inf,1348,76
DINOV3_0023,1366,69,27,7,192,inf,inf,1379,72
DINOV3_0024,449,169,51,67,1472,inf,inf,474,202
DINOV3_0025,621,193,15,7,112,inf,inf,628,196
DINOV3_0026,2390,193,39,23,512,inf,inf,2409,204
DINOV3_0027,2462,193,71,39,1504,inf,inf,2497,212
DINOV3_0028,2554,205,83,43,1808,inf,inf,2595,226
DINOV3_0029,2883,209,43,31,976,inf,inf,2904,224
DINOV3_0030,1269,233,95,27,1184,inf,inf,1316,246
DINOV3_0031,3319,237,39,35,960,inf,inf,3338,254
DINOV3_0032,1934,241,63,23,848,inf,inf,1965,252
DINOV3_0033,1366,249,67,31,1168,inf,inf,1399,264
DINOV3_0034,2975,273,495,283,27728,inf,inf,3222,414
DINOV3_0035,1366,313,2728,2757,882973,inf,inf,2730,1691
DINOV3_0036,1498,317,43,63,1344,inf,inf,1519,348
DINOV3_0037,2546,325,183,59,6704,inf,inf,2637,354
DINOV3_0038,2819,329,91,31,1712,inf,inf,2864,344
DINOV3_0039,2731,337,103,87,5936,inf,inf,2782,380
DINOV3_0040,3211,393,135,287,15808,inf,inf,3278,536
DINOV3_0041,1,417,59,247,6080,inf,inf,30,540
