tree_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,max_height_m,mean_height_m,center_x_px,center_y_px
DINOV3_0001,1,1,1363,3069,1990062,inf,inf,682,1535
DINOV3_0002,1366,1,1363,51,25136,inf,inf,2047,26
DINOV3_0003,2731,1,1363,339,23280,inf,inf,3412,170
DINOV3_0004,385,29,23,7,112,inf,inf,396,32
DINOV3_0005,879,71,38,32,955,1.76,1.26,898,87
DINOV3_0006,509,137,23,11,160,inf,inf,520,142
DINOV3_0007,1129,153,27,15,256,inf,inf,1142,160
DINOV3_0008,1181,173,19,15,240,inf,inf,1190,180
DINOV3_0009,1025,229,15,7,128,inf,inf,1032,232
DINOV3_0010,1366,277,2728,2793,2582331,inf,inf,2730,1673
DINOV3_0011,51,278,13,13,132,1.16,1.06,57,284
DINOV3_0012,1033,285,19,11,224,inf,inf,1042,290
DINOV3_0013,2,291,15,22,178,1.68,1.19,9,302
DINOV3_0014,4007,357,87,151,4672,inf,inf,4050,432
DINOV3_0015,1974,365,11,11,112,inf,inf,1979,370
DINOV3_0016,321,389,19,15,176,inf,inf,330,396
DINOV3_0017,3899,393,95,39,1552,inf,inf,3946,412
DINOV3_0018,21,425,19,31,464,inf,inf,30,440
DINOV3_0019,3827,485,95,59,2464,inf,inf,3874,514
DINOV3_0020,917,497,183,87,8656,inf,inf,1008,540
DINOV3_0021,3819,517,275,135,15744,inf,inf,3956,584
DINOV3_0022,237,525,23,15,320,inf,inf,248,532
DINOV3_0023,3210,531,75,39,2431,4.72,2.34,3247,550
DINOV3_0024,3723,541,99,35,1568,inf,inf,3772,558
DINOV3_0025,1221,633,31,7,208,inf,inf,1236,636
DINOV3_0026,1020,707,19,16,273,1.05,1.03,1029,715
DINOV3_0027,1341,709,23,19,304,inf,inf,1352,718
DINOV3_0028,1029,734,18,12,177,1.5,1.2,1038,740
DINOV3_0029,321,877,35,7,240,inf,inf,338,880
DINOV3_0030,853,889,31,11,240,inf,inf,868,894
DINOV3_0031,3779,957,67,63,2128,inf,inf,3812,988
DINOV3_0032,1418,965,87,15,880,inf,inf,1461,972
DINOV3_0033,3326,971,58,26,1084,2.35,1.57,3355,984
DINOV3_0034,3911,977,55,27,704,inf,inf,3938,990
DINOV3_0035,773,993,67,23,1008,inf,inf,806,1004
DINOV3_0036,3999,997,31,11,288,inf,inf,4014,1002
DINOV3_0037,1057,1006,143,168,14049,12.89,3.64,1128,1090
DINOV3_0038,2494,1009,19,20,284,inf,inf,2503,1019
DINOV3_0039,3743,1017,7,12,104,inf,inf,3746,1023
DINOV3_0040,889,1054,67,23,960,inf,inf,922,1065
DINOV3_0041,3969,1096,17,10,141,1.2,1.09,3977,1101
DINOV3_0042,998,1196,181,203,22747,22.88,4.67,1088,1297
DINOV3_0043,1190,1222,44,41,1236,1.52,1.2,1212,1242
DINOV3_0044,3675,1286,339,75,12832,inf,inf,3844,1323
DINOV3_0045,3527,1310,43,7,224,inf,inf,3548,1313
DINOV3_0046,69,1338,31,19,416,inf,inf,84,1347
DINOV3_0047,909,1342,47,31,1152,inf,inf,932,1357
DINOV3_0048,1366,1354,43,87,2080,inf,inf,1387,1397
DINOV3_0049,4051,1362,19,7,112,inf,inf,4060,1365
DINOV3_0050,1153,1430,23,11,272,inf,inf,1164,1435
DINOV3_0051,1161,1454,99,79,5616,inf,inf,1210,1493
DINOV3_0052,1374,1454,19,11,160,inf,inf,1383,1459
DINOV3_0053,4091,1502,3,87,352,inf,inf,4092,1545
DINOV3_0054,1275,1518,35,69,1497,2.45,1.44,1292,1552
DINOV3_0055,1278,1605,18,15,217,1.35,1.14,1287,1612
DINOV3_0056,1950,1642,63,27,960,inf,inf,1981,1655
DINOV3_0057,325,1674,35,15,416,inf,inf,342,1681
DINOV3_0058,3291,1694,23,19,336,inf,inf,3302,1703
DINOV3_0059,1414,1886,27,11,272,inf,inf,1427,1891
