tree_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,max_height_m,mean_height_m,center_x_px,center_y_px
DINOV3_0001,1,1,107,11,480,inf,inf,54,6
DINOV3_0002,293,1,55,7,336,inf,inf,320,4
DINOV3_0003,673,1,147,7,736,inf,inf,746,4
DINOV3_0004,849,1,183,7,816,inf,inf,940,4
DINOV3_0005,1117,1,247,7,1136,inf,inf,1240,4
DINOV3_0006,1462,1,1267,1124,130288,inf,inf,2095,563
DINOV3_0007,2518,1,55,3,224,inf,inf,2545,2
DINOV3_0008,2602,1,31,3,128,inf,inf,2617,2
DINOV3_0009,3787,1,307,207,5792,inf,inf,3940,104
DINOV3_0010,1734,73,11,11,112,inf,inf,1739,78
DINOV3_0011,1,125,3,43,176,inf,inf,2,146
DINOV3_0012,1,233,51,1128,16804,inf,inf,26,797
DINOV3_0013,2378,325,27,15,336,inf,inf,2391,332
DINOV3_0014,2410,357,23,15,256,inf,inf,2421,364
DINOV3_0015,2338,373,83,55,1776,inf,inf,2379,400
DINOV3_0016,2362,497,27,23,272,inf,inf,2375,508
DINOV3_0017,2538,529,51,23,864,inf,inf,2563,540
DINOV3_0018,2466,537,15,7,112,inf,inf,2473,540
DINOV3_0019,2759,757,479,428,36872,inf,inf,2998,971
DINOV3_0020,2731,869,411,520,45436,inf,inf,2936,1129
DINOV3_0021,2222,885,75,23,720,inf,inf,2259,896
DINOV3_0022,2174,889,19,11,176,inf,inf,2183,894
DINOV3_0023,2106,901,19,15,192,inf,inf,2115,908
DINOV3_0024,2242,925,139,156,10036,inf,inf,2311,1003
DINOV3_0025,2931,1005,11,15,112,inf,inf,2936,1012
DINOV3_0026,3255,1190,59,51,1936,inf,inf,3284,1215
DINOV3_0027,3079,1210,19,7,112,inf,inf,3088,1213
DINOV3_0028,3335,1254,23,19,192,inf,inf,3346,1263
DINOV3_0029,353,1286,1612,523,314557,inf,inf,1159,1547
DINOV3_0030,3379,1290,95,91,2880,inf,inf,3426,1335
DINOV3_0031,1309,1358,55,11,352,inf,inf,1336,1363
DINOV3_0032,293,1374,15,11,160,inf,inf,300,1379
DINOV3_0033,886,1377,113,99,7570,20.84,9.15,942,1426
DINOV3_0034,1201,1406,85,67,3294,2.83,1.54,1243,1439
DINOV3_0035,705,1414,31,23,496,inf,inf,720,1425
DINOV3_0036,3195,1418,87,91,4336,inf,inf,3238,1463
DINOV3_0037,1,1430,19,183,1056,inf,inf,10,1521
DINOV3_0038,3555,1438,35,31,896,inf,inf,3572,1453
DINOV3_0039,3515,1498,91,95,2752,inf,inf,3560,1545
DINOV3_0040,1281,1506,27,31,784,inf,inf,1294,1521
DINOV3_0041,3331,1538,111,127,5712,inf,inf,3386,1601
DINOV3_0042,1646,1549,122,78,5570,inf,inf,1707,1588
DINOV3_0043,3835,1662,35,27,640,inf,inf,3852,1675
DINOV3_0044,3495,1674,99,103,6336,inf,inf,3544,1725
DINOV3_0045,1942,1690,15,19,176,inf,inf,1949,1699
DINOV3_0046,2807,1690,11,11,128,inf,inf,2812,1695
DINOV3_0047,905,1754,19,7,128,inf,inf,914,1757
DINOV3_0048,4083,1754,11,199,976,inf,inf,4088,1853
DINOV3_0049,3647,1794,119,127,5536,inf,inf,3706,1857
DINOV3_0050,1,1814,3,63,256,inf,inf,2,1845
DINOV3_0051,2142,1866,95,39,1232,inf,inf,2189,1885
DINOV3_0052,2254,1886,75,43,1472,inf,inf,2291,1907
DINOV3_0053,3995,1914,67,19,880,inf,inf,4028,1923
DINOV3_0054,2330,1926,23,11,176,inf,inf,2341,1931
DINOV3_0055,2362,1934,27,11,272,inf,inf,2375,1939
DINOV3_0056,3835,1946,75,87,3632,inf,inf,3872,1989
DINOV3_0057,4047,1982,47,140,1876,inf,inf,4070,2052
DINOV3_0058,2482,2034,332,308,70227,inf,inf,2648,2188
DINOV3_0059,2170,2207,43,19,368,inf,inf,2191,2216
DINOV3_0060,2706,2355,23,15,336,inf,inf,2717,2362
DINOV3_0061,2682,2623,11,15,144,inf,inf,2687,2630
DINOV3_0062,1,2779,7,39,208,inf,inf,4,2798
DINOV3_0063,2634,2947,35,27,512,inf,inf,2651,2960
DINOV3_0064,3443,2959,23,43,528,inf,inf,3454,2980
DINOV3_0065,2614,2983,47,55,912,inf,inf,2637,3010
DINOV3_0066,3427,3019,23,15,176,inf,inf,3438,3026
DINOV3_0067,2494,3043,179,27,2048,inf,inf,2583,3056
DINOV3_0068,2911,3067,47,3,192,inf,inf,2934,3068
DINOV3_0069,3723,3067,111,3,448,inf,inf,3778,3068
DINOV3_0070,3923,3067,35,3,144,inf,inf,3940,3068
