tree_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,max_height_m,mean_height_m,center_x_px,center_y_px
DINOV3_0001,1,1,2696,1632,1430395,inf,inf,1349,817
DINOV3_0002,1366,1,1075,383,101984,inf,inf,1903,192
DINOV3_0003,2466,1,71,15,560,inf,inf,2501,8
DINOV3_0004,2642,1,63,3,256,inf,inf,2673,2
DINOV3_0005,2787,1,223,11,1200,inf,inf,2898,6
DINOV3_0006,3039,1,1056,767,262915,inf,inf,3567,384
DINOV3_0007,1069,33,11,11,128,inf,inf,1074,38
DINOV3_0008,1025,49,39,43,832,inf,inf,1044,70
DINOV3_0009,305,61,15,15,144,inf,inf,312,68
DINOV3_0010,3319,74,104,93,7388,15.58,6.44,3371,120
DINOV3_0011,3751,77,79,59,1536,inf,inf,3790,106
DINOV3_0012,2410,85,111,67,4432,inf,inf,2465,118
DINOV3_0013,1594,89,163,215,17824,inf,inf,1675,196
DINOV3_0014,1866,109,27,11,208,inf,inf,1879,114
DINOV3_0015,2706,129,23,15,336,inf,inf,2717,136
DINOV3_0016,3932,131,60,44,2176,8.59,3.05,3962,153
DINOV3_0017,2550,141,23,11,208,inf,inf,2561,146
DINOV3_0018,1726,149,359,355,56938,inf,inf,1905,326
DINOV3_0019,2446,165,23,19,384,inf,inf,2457,174
DINOV3_0020,2731,185,143,91,5104,inf,inf,2802,230
DINOV3_0021,2690,189,39,47,960,inf,inf,2709,212
DINOV3_0022,2158,197,83,47,1920,inf,inf,2199,220
DINOV3_0023,2274,213,35,11,320,inf,inf,2291,218
DINOV3_0024,2066,221,51,31,1168,inf,inf,2091,236
DINOV3_0025,3371,241,23,7,160,inf,inf,3382,244
DINOV3_0026,2374,249,55,27,992,inf,inf,2401,262
DINOV3_0027,2895,257,23,7,176,inf,inf,2906,260
DINOV3_0028,2534,265,195,179,12432,inf,inf,2631,354
DINOV3_0029,2302,269,327,171,16656,inf,inf,2465,354
DINOV3_0030,2731,281,1363,2789,1522790,inf,inf,3412,1675
DINOV3_0031,2951,281,27,11,192,inf,inf,2964,286
DINOV3_0032,3657,297,25,24,478,2.08,1.43,3669,309
DINOV3_0033,1115,299,17,11,182,1.18,1.09,1123,304
DINOV3_0034,2502,301,31,11,240,inf,inf,2517,306
DINOV3_0035,905,317,203,151,5648,inf,inf,1006,392
DINOV3_0036,2170,317,167,199,22160,inf,inf,2253,416
DINOV3_0037,1112,325,50,39,1093,1.28,1.1,1137,344
DINOV3_0038,3731,373,11,19,176,inf,inf,3736,382
DINOV3_0039,1366,445,139,183,14656,inf,inf,1435,536
DINOV3_0040,977,457,51,55,1648,inf,inf,1002,484
DINOV3_0041,877,481,11,11,112,inf,inf,882,486
DINOV3_0042,4035,485,59,279,3984,inf,inf,4064,624
DINOV3_0043,160,499,52,30,1180,4.9,2.52,186,514
DINOV3_0044,797,509,31,35,832,inf,inf,812,526
DINOV3_0045,1121,529,19,7,144,inf,inf,1130,532
DINOV3_0046,2198,533,343,399,47120,inf,inf,2369,732
DINOV3_0047,2859,533,79,43,1952,inf,inf,2898,554
DINOV3_0048,3699,541,19,23,208,inf,inf,3708,552
DINOV3_0049,1057,549,55,55,1504,inf,inf,1084,576
DINOV3_0050,2731,549,207,504,40388,inf,inf,2834,801
DINOV3_0051,1205,569,99,59,1824,inf,inf,1254,598
DINOV3_0052,2558,585,171,171,12288,inf,inf,2643,670
DINOV3_0053,3867,593,55,35,928,inf,inf,3894,610
DINOV3_0054,97,637,43,27,512,inf,inf,118,650
DINOV3_0055,1374,637,67,87,2416,inf,inf,1407,680
DINOV3_0056,1249,649,19,7,128,inf,inf,1258,652
DINOV3_0057,1482,657,127,115,8656,inf,inf,1545,714
DINOV3_0058,1201,669,11,15,112,inf,inf,1206,676
DINOV3_0059,2658,669,62,58,2660,8.6,4.34,2689,698
DINOV3_0060,3739,701,23,15,144,inf,inf,3750,708
DINOV3_0061,3975,701,71,27,1008,inf,inf,4010,714
DINOV3_0062,1762,705,27,15,416,inf,inf,1775,712
DINOV3_0063,1738,729,39,19,352,inf,inf,1757,738
DINOV3_0064,3367,749,91,91,5760,inf,inf,3412,794
DINOV3_0065,1891,751,97,81,6180,11.33,6.54,1939,791
DINOV3_0066,1702,765,43,107,2496,inf,inf,1723,818
DINOV3_0067,1244,768,22,23,389,1.58,1.26,1255,779
DINOV3_0068,2262,773,23,15,192,inf,inf,2273,780
DINOV3_0069,3939,801,155,304,8484,inf,inf,4016,953
DINOV3_0070,469,809,23,11,160,inf,inf,480,814
DINOV3_0071,317,881,23,23,368,inf,inf,328,892
DINOV3_0072,3387,893,11,11,112,inf,inf,3392,898
DINOV3_0073,3907,913,31,15,304,inf,inf,3922,920
DINOV3_0074,3330,989,63,63,3351,11.32,4.95,3361,1020
DINOV3_0075,3835,1086,31,71,1504,inf,inf,3850,1121
DINOV3_0076,3483,1098,19,11,144,inf,inf,3492,1103
DINOV3_0077,3563,1126,19,11,192,inf,inf,3572,1131
DINOV3_0078,3803,1134,291,891,83504,inf,inf,3948,1579
DINOV3_0079,86,1245,262,155,23380,22.76,9.26,217,1322
DINOV3_0080,1622,1270,15,23,288,inf,inf,1629,1281
DINOV3_0081,3900,1341,108,58,4734,8.34,4.12,3954,1370
DINOV3_0082,2654,1554,15,15,192,inf,inf,2661,1561
DINOV3_0083,2006,1594,95,488,21968,inf,inf,2053,1838
DINOV3_0084,1173,1606,31,19,432,inf,inf,1188,1615
DINOV3_0085,2658,1606,11,15,128,inf,inf,2663,1613
DINOV3_0086,673,1610,543,532,116964,inf,inf,944,1876
DINOV3_0087,249,1630,47,15,368,inf,inf,272,1637
DINOV3_0088,461,1630,19,7,128,inf,inf,470,1633
DINOV3_0089,3059,1646,15,11,112,inf,inf,3066,1651
DINOV3_0090,3111,1658,31,19,352,inf,inf,3126,1667
DINOV3_0091,2642,1662,31,51,1024,inf,inf,2657,1687
DINOV3_0092,1,1670,627,860,125576,inf,inf,314,2100
DINOV3_0093,3555,1682,151,139,12944,inf,inf,3630,1751
DINOV3_0094,217,1726,27,15,320,inf,inf,230,1733
DINOV3_0095,2650,1730,27,31,544,inf,inf,2663,1745
DINOV3_0096,61,1738,135,111,9136,inf,inf,128,1793
DINOV3_0097,1498,1758,119,51,2544,inf,inf,1557,1783
DINOV3_0098,2638,1794,31,39,864,inf,inf,2653,1813
DINOV3_0099,3355,1798,19,11,176,inf,inf,3364,1803
DINOV3_0100,3943,1806,39,11,336,inf,inf,3962,1811
DINOV3_0101,1694,1810,87,43,2320,inf,inf,1737,1831
DINOV3_0102,1366,1822,519,520,131436,inf,inf,1625,2082
DINOV3_0103,3211,1822,11,11,112,inf,inf,3216,1827
DINOV3_0104,2706,1850,15,15,192,inf,inf,2713,1857
DINOV3_0105,41,1862,63,19,448,inf,inf,72,1871
DINOV3_0106,2642,1862,79,159,5856,inf,inf,2681,1941
DINOV3_0107,2739,1894,11,23,160,inf,inf,2744,1905
DINOV3_0108,857,1910,431,184,27705,inf,inf,1072,2002
DINOV3_0109,549,1942,19,63,912,inf,inf,558,1973
DINOV3_0110,1874,2006,55,39,1312,inf,inf,1901,2025
DINOV3_0111,2803,2016,124,75,5391,9.74,2.58,2865,2053
DINOV3_0112,165,2042,459,440,88152,inf,inf,394,2262
DINOV3_0113,2674,2046,15,32,232,inf,inf,2681,2062
DINOV3_0114,969,2052,24,21,440,2.36,1.56,981,2062
DINOV3_0115,2968,2053,82,51,2848,2.75,1.62,3009,2078
DINOV3_0116,2414,2087,127,131,6256,inf,inf,2477,2152
DINOV3_0117,2022,2095,91,59,3200,inf,inf,2067,2124
DINOV3_0118,2646,2095,83,283,12112,inf,inf,2687,2236
DINOV3_0119,2969,2158,31,18,445,1.79,1.3,2984,2167
DINOV3_0120,3195,2175,19,7,112,inf,inf,3204,2178
DINOV3_0121,2578,2191,71,91,3248,inf,inf,2613,2236
DINOV3_0122,725,2219,43,43,1296,inf,inf,746,2240
DINOV3_0123,1686,2223,179,83,7840,inf,inf,1775,2264
DINOV3_0124,3203,2259,15,11,112,inf,inf,3210,2264
DINOV3_0125,649,2295,715,219,41200,inf,inf,1006,2404
DINOV3_0126,1806,2315,55,15,624,inf,inf,1833,2322
DINOV3_0127,2514,2315,71,99,2992,inf,inf,2549,2364
DINOV3_0128,1033,2323,71,23,912,inf,inf,1068,2334
DINOV3_0129,2194,2415,535,335,75154,inf,inf,2461,2582
DINOV3_0130,2002,2435,183,195,15632,inf,inf,2093,2532
DINOV3_0131,2787,2435,55,47,2016,inf,inf,2814,2458
DINOV3_0132,1329,2439,35,11,304,inf,inf,1346,2444
DINOV3_0133,1770,2443,63,47,1904,inf,inf,1801,2466
DINOV3_0134,1554,2463,15,11,128,inf,inf,1561,2468
DINOV3_0135,1366,2471,1071,599,76032,inf,inf,1901,2770
DINOV3_0136,1578,2479,19,11,128,inf,inf,1587,2484
DINOV3_0137,3601,2496,42,28,814,2.48,1.47,3622,2510
DINOV3_0138,4091,2515,3,67,272,inf,inf,4092,2548
DINOV3_0139,1754,2535,55,47,1232,inf,inf,1781,2558
DINOV3_0140,2030,2541,70,50,2757,5.42,2.96,2065,2566
DINOV3_0141,4055,2543,11,15,144,inf,inf,4060,2550
DINOV3_0142,1,2643,59,147,2544,inf,inf,30,2716
DINOV3_0143,1426,2651,23,11,176,inf,inf,1437,2656
